episode_id,step,mid_price,return_1,return_5,realized_vol_20,inventory,cash,order_flow_imbalance,momentum_signal,informed_signal_prob,time_remaining,spread_prev,bid_offset_expert,ask_offset_expert,trade_occured,trade_side,trade_size,inventory_after,reward,done
0,0,100.01987,0.000199,0.0,0.0,0,0.0,-0.0691,0,0.0,1.0,0.1,0.64539,0.64539,0,0,0,0,0.0,0
0,1,100.03104,0.000112,0.0,4.4e-05,2,-198.7713,0.5053,0,0.0009,0.996,1.29077,0.64539,0.64539,1,-1,2,2,1.2715,0
0,2,100.03192,9e-06,0.0,7.8e-05,-1,103.2606,-0.2139,0,0.0016,0.992,1.29077,0.66539,0.64539,1,1,3,-1,1.95448,0
0,3,100.00674,-0.000252,0.0,0.000169,6,-592.2688,0.2989,0,0.0034,0.988,1.29078,0.64539,0.65539,1,-1,7,6,3.99845,0
0,4,99.995,-0.000117,-5e-05,0.00016,6,-592.2688,-0.0149,0,0.0032,0.984,1.29079,0.70539,0.64539,0,0,0,6,-0.48802,0
0,5,100.02618,0.000312,6.3e-05,0.000189,6,-592.2688,-0.5505,0,0.0038,0.98,1.29079,0.70539,0.64539,0,0,0,6,-0.24497,0
0,6,99.97845,-0.000477,-0.000526,0.000253,6,-592.2688,-0.2045,0,0.0051,0.976,1.29079,0.7054,0.6454,0,0,0,6,-0.73276,0
0,7,99.95999,-0.000185,-0.000719,0.000242,6,-592.2688,0.0333,0,0.0048,0.972,1.2908,0.7054,0.6454,0,0,0,6,-0.57152,0
0,8,99.9669,6.9e-05,-0.000398,0.000231,6,-592.2688,0.1621,0,0.0046,0.968,1.29079,0.7054,0.6454,0,0,0,6,-0.43377,0
0,9,99.97744,0.000105,-0.000176,0.000223,6,-592.2688,0.8209,0,0.0045,0.964,1.29079,0.7054,0.6454,0,0,0,6,-0.42638,0
0,10,99.93933,-0.000381,-0.000868,0.000237,7,-691.5027,-0.5239,0,0.0047,0.96,1.29079,0.7054,0.6454,1,-1,1,7,-0.27734,0
0,11,99.9626,0.000233,-0.000158,0.00024,11,-1088.4915,0.4439,0,0.0048,0.956,1.29079,0.7154,0.6454,1,-1,4,11,1.2352,0
0,12,99.90232,-0.000603,-0.000577,0.000276,11,-1088.4915,0.5498,0,0.0055,0.952,1.29079,0.7554,0.6454,0,0,0,11,-2.45394,0
0,13,99.93479,0.000325,-0.000321,0.000286,6,-585.5906,0.6781,0,0.0057,0.948,1.2908,0.7554,0.6454,1,1,5,6,3.14964,0
0,14,99.94924,0.000145,-0.000282,0.00028,6,-585.5906,0.769,0,0.0056,0.944,1.2908,0.7054,0.6454,0,0,0,6,-0.47492,0
0,15,99.93331,-0.000159,-6e-05,0.000273,9,-883.2743,-0.0304,0,0.0055,0.94,1.2908,0.7054,0.6454,1,-1,3,9,0.58677,0
0,16,100.00505,0.000718,0.000425,0.000319,9,-883.2743,0.2903,0,0.0064,0.936,1.2908,0.7354,0.6454,0,0,0,9,-0.68266,0
0,17,100.07,0.000649,0.001678,0.000344,9,-883.2743,0.4119,0,0.0069,0.932,1.2908,0.7354,0.6454,0,0,0,9,-0.77633,0
0,18,100.06578,-4.2e-05,0.001311,0.000335,9,-883.2743,-0.4777,0,0.0067,0.928,1.2908,0.7354,0.6454,0,0,0,9,-1.43112,0
0,19,100.03481,-0.00031,0.000856,0.000335,9,-883.2743,-0.1799,0,0.0067,0.924,1.2908,0.7354,0.6454,0,0,0,9,-1.7044,0
0,20,99.98083,-0.00054,0.000476,0.000353,9,-883.2743,-0.5095,0,0.0071,0.92,1.2908,0.7354,0.6454,0,0,0,9,-1.94382,0
0,21,99.93699,-0.000438,-0.000681,0.000363,9,-883.2743,0.4574,0,0.0073,0.916,1.2908,0.7354,0.6454,0,0,0,9,-1.88489,0
0,22,99.85342,-0.000836,-0.002164,0.000402,9,-883.2743,0.6319,0,0.008,0.912,1.2908,0.7354,0.6454,0,0,0,9,-2.27499,0
0,23,99.89683,0.000435,-0.001688,0.000415,9,-883.2743,0.5025,0,0.0083,0.908,1.29081,0.7354,0.6454,0,0,0,9,-1.16447,0
0,24,99.89426,-2.6e-05,-0.001405,0.000415,9,-883.2743,0.1725,0,0.0083,0.904,1.29081,0.7354,0.6454,0,0,0,9,-1.61075,0
0,25,99.90777,0.000135,-0.000731,0.000409,9,-883.2743,0.9873,0,0.0082,0.9,1.29081,0.7354,0.6454,0,0,0,9,-1.49843,0
0,26,99.8992,-8.6e-05,-0.000378,0.000398,9,-883.2743,-0.3446,0,0.008,0.896,1.29081,0.7354,0.6454,0,0,0,9,-1.72948,0
0,27,99.89739,-1.8e-05,0.00044,0.000397,9,-883.2743,0.1085,0,0.0079,0.892,1.29081,0.7354,0.6454,0,0,0,9,-1.70113,0
0,28,99.97469,0.000774,0.000779,0.000433,9,-883.2743,0.0405,0,0.0087,0.888,1.29081,0.7354,0.6454,0,0,0,9,-1.02146,0
0,29,100.01019,0.000355,0.001161,0.00044,9,-883.2743,0.3027,0,0.0088,0.884,1.29081,0.7354,0.6454,0,0,0,9,-1.43012,0
0,30,100.02731,0.000171,0.001197,0.000431,9,-883.2743,-1.2348,0,0.0086,0.88,1.29081,0.7354,0.6454,0,0,0,9,-1.62789,0
